InstitutionID,DeptOfEdInstitutionID,InstitutionName,InstitutionAddress,InstitutionCity,InstitutionState,StateProvinceID,InstitutionZip,InstitutionPhone,InstitutionOPEID,InstitutionIPEDSUnitID,InstitutionURL,CountryID,CreatedDate,UpdatedDate,ModifiedBy
20,100247,Gadsden Business College,3225 Rainbow Drive Suite 246,Rainbow City,AL,23,35906,256-442-2805,"00446200",101231,www.gadsdenbusinesscollege.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
21,100256,Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,23,35902-0227,256-549-8200,"00101700",101240,www.gadsdenstate.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
22,100274,George C Wallace Community College - Dothan,1141 Wallace Drive,Dothan,AL,23,36303-9234,334-983-3521,"00101800",101286,www.wallace.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
23,100283,Wallace State Community College  - Hanceville,801 Main St. P. O. Box 2000,Hanceville,AL,23,35077-2000,256-352-8000,"00787100",101295,www.wallacestate.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
24,100292,George Corley Wallace State Community College - Selma,3000 Earl Goodwin Parkway,Selma,AL,23,36703-2808,334-876-9227,"00569900",101301,www.wccs.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
25,100326,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,23,36106-2148,334-833-4222,"00101900",101435,www.huntingdon.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
26,100335,Huntsville Hospital,101 Sivley Road,Huntsville,AL,23,35801,,,101444,,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
27,100344,Heritage Christian University,3625 Helton Dr,Florence,AL,23,35630-9977,256-766-6610,"02199700",101453,www.hcu.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
28,100353,J F Drake State Technical College,3421 Meridian St North,Huntsville,AL,23,35811,256-539-8161,"00526000",101462,www.drakestate.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
29,100362,J F Ingram State Technical College,5375 Ingram Road,Deatsville,AL,23,36022,334-285-7870,"03002500",101471,www.ingram.cc.al.us,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
30,100371,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,23,36265,256-782-5781,"00102000",101480,www.jsu.edu/,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
31,100380,Jefferson Davis Community College,220 Alco Dr,Brewton,AL,23,36426,251-867-4832,"00102100",101499,www.jdcc.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
32,100399,Jefferson State Community College,2601 Carson Rd,Birmingham,AL,23,35215-3098,205-853-1200,"00102200",101505,www.jeffstateonline.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
33,100405,John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,AL,23,35671,256-306-2500,"00101300",101514,www.calhoun.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
34,100441,University of West Alabama,205 North Washington Street,Livingston,AL,23,35470,205-652-3400,"00102400",101587,www.uwa.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
35,100450,Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,AL,23,36420-1418,334-222-6591,"00898800",101602,lbwcc..edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
36,100469,Marion Military Institute,1101 Washington St,Marion,AL,23,36756,334-683-2303,"00102600",101648,www.marionmilitary.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
37,100478,Pivot Point the Masters,8215 Stephanie Drive,Huntsville,AL,23,35802,,,101657,,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
38,100487,Miles College,5500 Myron Massey Blvd,Fairfield,AL,23,35064,205-929-1000,"00102800",101675,www.miles.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
39,100496,University of Mobile,5735 College Parkway Drive,Mobile,AL,23,36663-0220,251-675-5990,"00102900",101693,www.umobile.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
40,100502,University of Montevallo,Station 6001,Montevallo,AL,23,35115,205-665-6155,"00100400",101709,www.montevallo.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
41,100511,Northwest-Shoals Community College - Muscle Shoals,800 George Wallace Blvd,Muscle Shoals,AL,23,35661,256-331-5200,"00569700",101736,www.nwscc.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
42,100520,University of North Alabama,One Harrison Plaza,Florence,AL,23,35632-0001,256-765-4100,"00101600",101879,www.una.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
43,100539,Northeast Alabama Community College,138 Alabama Highway 35,Rainsville,AL,23,35986,205-638-4418-222,"00103100",101897,www.nacc.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
44,100548,Northwest-Shoals Community College - Phil Campbell,2080 College Road,Phil Campbell,AL,23,35881,,,101903,,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
45,100557,Oakwood University,7000 Adventist Blvd N.W.,Huntsville,AL,23,35896,256-726-7000,"00103300",101912,www.oakwood.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
46,100566,Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,23,36460,251-575-3156-600,"00103400",101949,www.ascc.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
47,100575,Prince Institute - Southeast,7735 Atlanta Highway,Montgomery,AL,23,36117,334-271-1670,"02296000",101958,princeinstitute.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
48,100584,Reid State Technical College,I-65 and Highway 83,Evergreen,AL,23,36401,251-578-1313,"00569200",101994,www.rstc.cc.al.us,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
49,100593,Bishop State Community College,351 North Broad Street,Mobile,AL,23,36603-5362,251-405-7130,"00103000",102030,www.bishop.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
50,100609,Samford University,800 Lakeshore Drive,Birmingham,AL,23,35229-2240,205-726-2011,"00103600",102049,www.samford.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
51,100618,Shelton State Community College,9500 Old Greensboro Rd,Tuscaloosa,AL,23,35405-8522,205-391-2347,"00569100",102067,www.sheltonstate.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
52,100627,Snead State Community College,220 North Walnut Street,Boaz,AL,23,35957-0734,256-593-5120,"00103800",102076,www.snead.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
53,100636,University of South Alabama,307 N University Blvd,Mobile,AL,23,36688-0002,334-460-6101,"00105700",102094,www.usouthal.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
54,100645,Southern Community College,205 S Main St,Tuskegee,AL,23,36083-0688,334-727-5220-3022,"01123700",102216,www.SOUTHERNCOMMUNITYCOLLEGE.ORG,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
55,100654,Spring Hill College,4000 Dauphin St,Mobile,AL,23,36608-1791,251-380-4000,"00104100",102234,www.shc.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
56,100663,Southeastern Bible College,2545 Valleydale Road,Birmingham,AL,23,35244-2083,205-970-9200,"02270400",102261,www.sebc.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
57,100672,Stillman College,3601 Stillman Boulevard,Tuscaloosa,AL,23,35403,205-349-4240,"00104400",102270,www.stillman.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
58,100681,Talladega College,627 W Battle St,Talladega,AL,23,35160,256-362-0206,"00104600",102298,www.talladega.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
59,100690,H Councill Trenholm State Technical College,1225 Air Base Blvd,Montgomery,AL,23,36108,334-420-4295,"00573400",102313,www.trenholmstate.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
60,100733,Troy University,University Avenue,Troy,AL,23,36082-0001,334-670-3100,"00104700",102368,www.troy.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
61,100742,Tuskegee University,Kresge Center. 3rd Floor,Tuskegee,AL,23,36088-1920,334-727-8011,"00105000",102377,www.tuskegee.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
62,100751,United States Sports Academy,One Academy Dr,Daphne,AL,23,36526-7055,251-626-3303-162,"02170600",102395,www.ussa.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
63,100760,Bevill State Community College,101 State St,Sumiton,AL,23,35148,205-648-3271-5400,"00573300",102429,www.bscc.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
64,100779,University of Alaska Anchorage,3211 Providence Drive,Anchorage,AK,49,99508-8046,907-786-1480,"01146200",102553,www.uaa.alaska.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
65,100788,University of Alaska Fairbanks,Signers' Hall,Fairbanks,AK,49,99775-7480,907-474-7211,"00106300",102614,www.uaf.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
66,100797,University of Alaska Southeast,11120 Glacier Highway,Juneau,AK,49,99801-8697,907-465-6457,"00106500",102632,www.uas.alaska.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
67,100803,Alaska Pacific University,4101 University Dr,Anchorage,AK,49,99508,907-561-1266,"00106100",102669,www.alaskapacific.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
68,100812,Alaska Vocational Technical Center,809 Second Avenue,Seward,AK,49,99664-0889,907-224-3322,"03160300",102711,avtec.labor.state.ak.us/,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
69,100821,Charter College,2221 E Northern Lights Blvd Ste 120,Anchorage,AK,49,99508,907-277-1000,"02576900",102845,www.chartercollege.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
70,100830,Prince William Sound Community College,303 Lowe Street,Valdez,AK,49,99686,907-834-1632,"01146205",103361,www.pwscc.edu.,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
71,100849,Sheldon Jackson College,801 Lincoln Street,Sitka,AK,49,99835-7699,907-747-5220,"00106200",103440,www.sj-alaska.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
72,100858,Career Academy,1415 E Tudor Road,Anchorage,AK,49,99507-1033,907-563-7575,"02541000",103501,www.careeracademy.net,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
73,100876,Everest College - Phoenix,10400 N. 25th Avenue. Suite 190,Phoenix,AZ,48,85021,602-942-4141,"02295000",103644,www.cci.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
74,100894,Empire Beauty School - Scottsdale,12827 North Tatum Boulevard,Phoenix,AZ,48,85032,602-248-2828,"01293700",103732,artisticbeautycolleges.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
75,100900,Empire Beauty School - Tucson,3030 East Speedway Boulevard,Tucson,AZ,48,85716,602-248-2828,"00886500",103741,artisticbeautycolleges.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
76,100919,Thunderbird School of Global Management,15249 N 59th Ave,Glendale,AZ,48,85306-6000,602-978-7000,"00107000",103778,www.t-bird.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
77,100928,American Indian College of the Assemblies of God,10020 N 15th Ave,Phoenix,AZ,48,85021,602-944-3335,"02199900",103787,www.aicag.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
78,100937,American Institute of Technology,440 S 54th Ave,Phoenix,AZ,48,85043-4729,602-233-2222,"02317800",103811,www.ait-schools.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
79,100946,Carrington College - Phoenix,8503 N 27th Ave,Phoenix,AZ,48,85051-4063,602-433-1333,"02100600",103893,www.apollocollege.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
80,100973,College America - Flagstaff,1800 South Milton Road,Flagstaff,AZ,48,86001,928-526-0763,"03120300",103945,www.collegeamerica.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
81,100982,Arizona Academy of Beauty Inc,5631 E Speedway Blvd,Tucson,AZ,48,85712,520-885-4120,"00886400",103954,www.arizonaacademy.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
82,100991,Arizona Automotive Institute,6829 N 46th Ave,Glendale,AZ,48,85301-3579,800-528-0717,"01084700",103963,www.aai.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
83,101019,Arizona State University,P.O. Box 2203,Tempe,AZ,48,85287,480-965-9011,"00108100",104151,www.asu.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
84,101028,Arizona Western College,P.O. Box 929,Yuma,AZ,48,85366,928-317-6000,"00107100",104160,www.azwestern.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
85,101037,University of Arizona,1401 E University,Tucson,AZ,48,85721-0066,520-621-2211,"00108300",104179,www.arizona.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
86,101046,Southwest University of Visual Arts,2525 North Country Club Road,Tucson,AZ,48,85716,520-325-0123,"02491500",104188,www.theartcenter.EDU,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
87,101055,Brillare Hairdressing Academy - Scottsdale,15147 North Scottsdale Road. Building H. Suite 300,Scottsdale,AZ,48,85254,480-994-4222,"02561900",104294,attheacademy.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
88,101064,Central Arizona College,8470 N Overfield Rd,Coolidge,AZ,48,85228-9778,520-426-4444,"00728300",104346,www.centralaz.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
89,101082,Charles of Italy Beauty College,1987 McCulloch Blvd. Suite 205,Lake Havasu City,AZ,48,86403,928-453-6666,"02280500",104391,www.charlesofitaly.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
90,101091,Cochise College,4190 W. Highway 80,Douglas,AZ,48,85607,520-364-7943,"00107200",104425,www.cochise.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
91,101107,Empire Beauty School - Flagstaff,1790 East Route 66,Flagstaff,AZ,48,86004,602-248-2828,"01180800",104434,artisticbeautycolleges.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
92,101116,Empire Beauty School - Chandler,2978 North Alma School Road. #3,Chandler,AZ,48,85224,602-248-2828,"01180801",104443,artisticbeautycolleges.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
93,101125,Cortiva Institute - Desert Institute of the Healing Arts,6390 East Broadway Boulevard,Tucson,AZ,48,85710,520-882-0899,"02582700",104504,www.desertinstitute.org,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
94,101134,DeVoe College of Beauty,750 Bartow Dr,Sierra Vista,AZ,48,85635-1832,520-458-8660,"02173300",104522,www.personal.riverusers.com/~devoe/index.html,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
95,101161,Eastern Arizona College,615 N. Stadium Ave.,Thatcher,AZ,48,85552-0769,928-428-8322,"00107300",104577,www.eac.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
96,101189,Frank Lloyd Wright School of Architecture,Taliesin West. P.O. Box 4430,Scottsdale,AZ,48,85261,,"02533200",104665,,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
97,101198,Maricopa Community Colleges - Glendale Community College,6000 W Olive Ave,Glendale,AZ,48,85302,623-845-3000,"00107600",104708,www.gc.maricopa.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
98,101204,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,48,85017,602-589-2500,"00107400",104717,www.gcu.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
99,101213,Anthem College - Phoenix,1515 E Indian School Road,Phoenix,AZ,48,85014,602-279-9700,"02263100",104805,www.hightechschools.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
100,101222,International Academy of Hair Design - Mesa,1445 West Southern Avenue. Suite 2006,Mesa,AZ,48,85202,480-820-9422,"01218400",104911,www.intlacademy.biz,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
101,101231,Lamson College,875 West Elliot Road. Suite 206,Tempe,AZ,48,85284,480-898-7000,"02521500",104984,www.lamsoncollege.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
102,101259,Kaplan College - Phoenix,13450 N Black Canyon Hwy.  Ste 104,Phoenix,AZ,48,85029,602-548-1955,"02071200",105118,www.longtechnicalcollege.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
103,101268,Maricopa Beauty College,515 W Western Ave,Avondale,AZ,48,85323,623-932-4414,"02192300",105127,,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
104,101277,Maricopa Community College System Office,2411 W 14th St,Tempe,AZ,48,85281-6942,480-731-8000,"030722A1",105136,www.dist.maricopa.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
105,101286,Maricopa Community Colleges - Gateway Community College,108 N. 40th Street,Phoenix,AZ,48,85034,602-392-5000,"00830300",105145,www.gwc.maricopa.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
106,101295,Maricopa Community Colleges - Mesa Community College,1833 W Southern Ave,Mesa,AZ,48,85202,602-461-7000,"00107700",105154,www.mc.maricopa.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
107,101329,Mohave Community College,1971 Jagerson Ave,Kingman,AZ,48,86409-1238,928-757-4331,"01186400",105206,www.mohave.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
108,101338,Universal Technical Institute-Motorcycle Mechanics,2844 W Deer Valley Rd,Phoenix,AZ,48,85027,623-869-9644,"02100500",105215,uticorp.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
109,101347,Mundus Institute,2001 W Camelback. Suite 140,Phoenix,AZ,48,85015,602-246-7111,"03004700",105242,WWW.MUNDUSINSTITUTE.COM,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
110,101356,Dine College,P.O. Box 126,Tsaile,AZ,48,86556,520-724-6600,"00824600",105297,dinecollege.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
111,101365,Northern Arizona University,P.O. Box 4092,Flagstaff,AZ,48,86011,928-523-9011,"00108200",105330,www.nau.edu/text/,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
112,101374,Northland Pioneer College,103 N. First Ave,Holbrook,AZ,48,86025-0610,928-524-7600,"01186200",105349,www.npc.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
113,101392,Paralegal Institute. Inc.,7332 Butherus Drive. Suite 102,Scottsdale,AZ,48,85260,800-354-1254,,105385,www.theparalegalinstitute.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
114,101426,Phoenix Therapeutic Massage College,8010 East McDowell Road #214,Scottsdale,AZ,48,85257,480-945-9461,"02623800",105482,ptmcaz.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
115,101435,University of Phoenix,1625 Fountainhead Parkway,Tempe,AZ,48,85282,480-804-7600,"02098800",105516,www.phoenix.edu/,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
116,101444,Pima Community College,2202 W Anklam Rd,Tucson,AZ,48,85709-0001,520-206-4500,"00726600",105525,www.pima.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
117,101453,Pima Medical Institute - Tucson,3350 East Grant Road. Suite 200,Tucson,AZ,48,85716,520-326-1600,"02217100",105534,www.pmi.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
118,101471,Prescott College,220 Grove Ave,Prescott,AZ,48,86301,928-778-2090,"02065300",105589,www.prescott.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
119,101480,Refrigeration School Inc,4210 E Washington,Phoenix,AZ,48,85034-1816,602-275-7133,"01168900",105659,refrigerationschool.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
120,101505,Roberto-Venn School of Luthiery,4011 S 16th St,Phoenix,AZ,48,85040,602-243-1179,"02113800",105677,www.roberto-venn.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
121,101514,Hair Academy of Safford,1550 West Thatcher Blvd,Safford,AZ,48,85546,928-428-0331,"03005000",105701,,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
122,101541,Long Technical College - East Valley,4646 E. Van Buren Street  Suite #350,Phoenix,AZ,48,85008-1716,602-252-2171,"02181300",105880,www.lontechnicalcollege.com/,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
123,101569,Tucson College,5151 East Broadway Boulevard. Suite 155,Tucson,AZ,48,85711,520-296-3261-104,"00446700",105987,www.tucsoncollege.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
124,101578,Universal Technical Institute of Arizona Inc,10695 West Pierce Street,Avondale,AZ,48,85323,623-245-4600,"00822100",106041,uticorp.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
125,101596,Western International University,9215 N Black Cyn Hwy,Phoenix,AZ,48,85021,602-943-2311,"02171500",106102,www.wintu.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
126,101602,Empire Beauty School - Glendale,2727 West Glendale Avenue. Suite #200,Phoenix,AZ,48,85051,602-248-2828,"02220300",106111,,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
127,101611,Yavapai College,1100 E Sheldon St,Prescott,AZ,48,86301,928-445-7300,"00107900",106148,www.YC.EDU,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
128,101620,University of Arkansas at Little Rock,2801 S University Ave,Little Rock,AR,26,72204,501-569-3000,"00110100",106245,www.ualr.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
129,101648,Arkadelphia Beauty College,2708 W Pine,Arkadelphia,AR,26,71923,870-246-6726,"03065100",106281,,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
130,101657,Arkansas Baptist College,1621 Dr. Martin Luther King Drive,Little Rock,AR,26,72202,501-374-7856,"00108700",106306,www.arkansasbaptist.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
131,101684,Lyon College,2300 Highland Road,Batesville,AR,26,72503,870-793-9813,"00108800",106342,www.lyon.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
132,101693,Arkansas College of Barbering and Hair Design,200 E Washington Ave,North Little Rock,AR,26,72114,501-376-9696,"03023400",106351,,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
133,101709,Arthur's Beauty College. Inc - Fort Smith,2000 North B Street,Fort Smith,AR,26,72901-3342,479-783-6245,"02363500",106360,,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
134,101718,University of Arkansas. Fayetteville,Administration Bldg. 425,Fayetteville,AR,26,72701,479-575-4148,"00110800",106397,www.uark.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
135,101727,University of Arkansas at Pine Bluff,1200 N University Mail Slot 4789,Pine Bluff,AR,26,71601,870-575-8000,"00108600",106412,www.uapb.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
136,101736,Arkansas State University - Beebe,P.O. Box 1000,Beebe,AR,26,72012-1000,501-882-3600,"00109100",106449,WWW.ASUB.EDU,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
137,101745,Arkansas State University,P.O. Box 600,State University,AR,26,72467,870-972-3056,"00109000",106458,www.astate.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
138,101754,Arkansas Tech University,Administration Bldg. 200. 1509 North Boulder Avenue,Russellville,AR,26,72801-2222,479-968-0389,"00108900",106467,www.atu.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
